address	balance
bc1qms2la25qtgh69e7v8eddhsz3gwlfzucwh6v0zvwk8ku36r3mczxq4zlfd5	729050738500
12Eqo4vhJUqHhnUYb3vSm9Kq4Eo1GCb5kC	706066127884
13eEt6myAo1zAC7o7RK5sVxxCNCAgd6ApH	700013726196
1DzjE3ANaKLasY2n6e5ToJ4CQCXrvDvwsf	700000403120
15YMdTNT83UJqfpaZfDccy9yBYQFxHxVFt	700000013667
324rP14bzX8kW1JWt1J8ohZjDFyt2G68Kq	699998585224
1FJuzzQFVMbiMGw6JtcXefdD64amy7mSCF	699900207597
38C7LhtsbanuGUxeXguEvm2Gm2pSN2K175	699000981652
1Ac6fUJ2Uw4cdXu3YFjCsSqnQGRb7KW1Ec	698899204514
186XqVoL7TGxR3osoo4xn32wbYtb527raY	697672086397
19GEVekmu7wAgPFNcQNFHE7SYoj2snindR	695500025000
bc1qzxwdcxqj36ane625hkgjpg6p0pjg79u29qyrus	690100002359
17EFzE9jRZqz72UEVzWV6syu1vvNgcsuVY	689000277186
1Ac2JdpQ5c9NeSajdGx6dofxeXkn4S35ft	687772090403
1BDDP24sXewavb22C5cTEiQQDU5Qcn9957	680000000000
bc1qxseuqx06djpmyumvwn02lx3q082mmnj6r0g6zxc28rkypsevpfqs8vz7lr	673056595631
1zgmvYi5x1wy3hUh7AjKgpcVgpA8Lj9FA	673006898502
14docgpVRi1o1R8ymxGKEQdGVaJUP5MPvf	666417825498
3QsGsAXQ4rqRNvh5pEW55hf3F9PEyb7rVq	663320446382
35h49kvohPx5Pmtpt26P8o3KuSczsFLo23	657806012490
1LVBnipcnkwqHKaXcHeV9gcbPMvByaJkqk	652240849926
1AYLzYN7SGu5FQLBTADBzqKm4b6Udt6Bw6	651196162281
1NpZcfBnaJeoRT9ZqwZVRMw3SRs546VsuE	650723333047
356Zz26iW3tYd1xWJjVGa8CPbjC9W5EW9f	649955975799
bc1q8usjtaxjazfulcf25lxptktlazk3hwykm08xtv	647275384622
3QFtYbR22en2AizTb7JVFA9bL2rf1fbNJr	643615665029
